Creator,Top 1 Category,Top 1 Category GMV,Top 2 Category,Top 2 Category GMV,Top 1 Product,Top 1 Product ID,Top 1 Product GMV,Top 2 Product,Top 2 Product ID,Top 2 Product GMV,Top 3 Product,Top 3 Product ID,Top 3 Product GMV,Top 4 Product,Top 4 Product ID,Top 4 Product GMV,Top 5 Product,Top 5 Product ID,Top 5 Product GMV
theeverhopefulgardener,Pet Supplies,$614.56,Home Improvement,$442.85,"2-Pack Thicker Dog Cooling Mats for Dogs Cats, Cute Bone Quilted Durable Non-Slip Instant Cool Summer Pet Cooling Pad, No Geal No Electric Portable Lightweight Washable Indoor Outdoor Cold Kennel Crate Bed for Large Dogs #SummerVibes #tiktokshopsummersale",1731574266362499154,594.28,"SEESE 6-Inch Brushless Mini Chainsaw with Automatic Oiling System, Portable Cordless Electric Chain Saw for Wood Cutting, Pruning, Gardening & Camping, 2000mAh Battery Included, Suitable for Seniors & Women",1730525978798559895,$244.97,"【2026 NEW】Organic Oyster Mushroom Grow Kit 3.5 lb | 1-7 Days Harvest | Easy to Grow Indoor | No Soil/Sun Required, Multiple Harvests | USDA Organic | Non-GMO | Made in USA | Perfect for Home Kitchen & Gardening EnthusiastsGift for Adults & Kids",1732512262444650720,147.98,"3-Tier Vintage Rustic Patina Wrought Iron Rainwater Collector for Garden Supplies, Garden Setting, Perfect Outdoor Aesthetic Decorative Art for Hummingbirds and Birds, Elegant Bird Bath Ideal for Spring & Summer Gifts",1732222001388556978,125.56,"Vego Garden Self-Watering Tomato Planter with Trellis - Climbing Planting Stand, Supports Growth, Sturdy Structure, Essential Home Improvement Garden Pot Accessory",1731074721559384924,111.51
thejaydonwalker,Sports & Outdoor,$584.29,Menswear & Underwear,$89.99,"JRing Full-Face Snorkeling Mask for Adults, Leak-Free Silicone Diving Gear with 180° Panoramic View, Anti-Fog, Action Camera Mount and Adjustable Straps",1731483862721467037,479.76,The DudeRobe - Premium Hoodie Robe for Men - Comfy Loungewear,1729440831807000630,$89.99,Titties Golf Polo - Funny Golf Shirts for Men - Funny Golf Polos for Men - Mens Funny Golf Shirts - Golf Shirt Funny,1732207973626122564,44.99,Golf Sunglasses UV Polarized for Men Lightweight UV400 Protection Dark Green Mirror Coating for Driving Fishing Golf Classic Shades,1731696621123571777,33.92,"Arttodo Golf Grip Trainer, Fix Swing Grip, Golf Grip Training Aids, Fix Hand Position & Grasp, Master Correct Grip Posture, Golf Gifts Golf Regripping Kit",1729588504812819234,25.62
themagicalmillennial_,Phones & Electronics,"$18,601.46",Shoes,"$3,096.85","MAGIC JOHN Screen Protector 2 Pack for iPhone, Samsung, and Google–Clear & Privacy Protection, Fingerprint Resistant, Dust-Free, Bubble-Free Design summerwins",1731240700630176089,10208.86,Dr. Scholl's Women's Time Off Sneaker - Medium & Wide Width,1731896637625241960,"$2,934.30","【Magnetic Power Bank】Anker 5,000mAh Magnetic Power Bank, Wireless Portable Charger with Foldable Stand & Side USB-C Port, Battery Pack for iPhone 17/16/15/14/13#DealsForYouDays sohochic",1729386204817625168,1913.51,"LED Fantasy Castle Fireworks Phone Case, Compatible with iPhone 11/12/13/14/15/16/17 Pro/Pro Max/Plus, Stylish Protective Cover, Unique Design for Daily Use, Protective Casing",1732098105292591228,1837.23,"NEEWER NL48B Magnetic Selfie Light for MagSafe iPhone/Android – Foldable LED Ring Light with Mirror & Stand, Portable Rechargeable Indoor/Outdoor Lighting for Makeup Selfie Photography & Video Recording tiktokshopbacktoschool",1731099434999845429,1365.39
thenursethattoks,Health,"$17,209.48",Beauty & Personal Care,$461.65,"Liposomal Glutathione Capsules – Skin Glow, Immune & Detox Support (60 Count) - Rosabella",1732307596354622214,15896.34,"2 x Rosabella Moringa Capsules (800mg) for Immune Support, Gut Health & Vitamins",1729464033034539782,$550.25,Cata-Kor Liposomal Glutathione Supplement – 1155 mg | Vitamin C | Riboflavin (B2) | Selenium | Resveratrol Complex – Supports Antioxidant Defense & Cellular Health – Vitamin Dietary Supplement Fitness Healthcare,1732296253042823390,549.57,"HAPPY CURVES Comfort Powder: Talc Free Anti Chafe Body & Foot Dusting Powder Deodorant to Control Inner Thigh Chafing, and Private Areas(Pack of 1)",1729662049108267787,348.1,FeelinGirl Belt Waist Cincher Ab Belt with Triple Wrap WomenB Comfortable Fabrics Nylon Adjustable Multicolor Lady Festival Womenswear Lady  Comfort Fabrics Womenswear Fits Sexy Waist Trainer #Summervibes,1730076199814861297,227.95
theraysfinds,Beauty & Personal Care,"$4,876.20",Furniture,"$1,482.89",CHARM TINT Blurry Base Line,1731929587612947280,1696.16,"[SummerSale] AMERLIFE 36.2/47.2"" Fluted Vanity Desk with Mirror and Adjustable LED Lights, Large 4/7 Drawers Makeup Table with Glass Top and Charging Station for Women and Girls, Bedroom or Dorm/Best Gift Ideas/Christmas Gifts",1731740828044727086,"$1,482.89",tarte colored clay CC undereye corrector,1729734769623929788,1165.3,tarte baked & buttered duo - shape tape concealer & 2-in-1 cream & powder blush,1732204592239645628,453.98,"Anti Cellulite Oil and Lymphatic Drainage Massager Kit | Fascia Blaster for Contoured & Smoother Skin | Muscle Roller for Sore Arms, Legs, and Stomach, 8 fl oz by M3 Naturals Skin Tightening Oil Body Oil Set Firming Oil Body Care #TikTokShopSummerSale",1731962083853505300,295.8
therestadfam,Womenswear & Underwear,"$6,975.89",Luggage & Bags,"$5,355.56","Comfort Colors Gilmore Ghouls Shirt, Halloween Fall Vibes T-shirt, Autumn Festival Shirt, Spooky Gilmore Girls Fan Sweater, Halloween Gift",1731638151981535389,6350.1,Smart Luggage Tags (Navy 2-Pack) | Keeps Personal info Private With Durable Privacy QR Code | Use with Away GPS Bag Locator & Air Tag | Android or iOS,1729743237228630042,"$4,117.04","BIG ELEPHANT Toddler Potty Training Pants, 100% Cotton Reusable Training Underwear with Light Absorbency for Daytime Potty Learning",1729569671740888020,2294.2,DRMTLGY Retinol Body Lotion 6 oz with Shea Butter and Ceramides Skin Care Hydrating,1729436419777401382,2067.94,Skechers Graceful Vegan Washable Knit Slip-Ons - Breezestep,1731011950968280007,1585.54
thisblondieee,Textiles & Soft Furnishings,"$16,941.53",Kitchenware,$80.00,"Bedsure 100% Cooling bamboo Sheet Set, Moody Color Rayon Derived from Bamboo, PureWoven, Breathable & Soft, Deep Pocket Up to 16 Inches, Hotel Luxury Silky Bedding for Hot Sleepers, Wrinkle, Fade Resistant",1731367134008480341,13996.96,"2-Pcs Decorative Soft Chenille Throw Pillow Covers, Solid Neutral Farmhouse Textured Cushion Covers for Couch, Sofa, Bedroom and Living Room",1732385776730870191,"$1,759.26","Mellow Sleep | Lights Out Weighted Eye Mask – Strapless 360° Wraparound Sleep Mask, Deep Pressure Relaxation Eye Mask for Better Sleep, Soft Comfortable Light Blocking Eye Mask for Travel, Naps & Stress Relief",1729507522093225041,394.15,"Utopia Bedding White Soft Bounce Pillow Inserts - Pack of 4 - Plush Brushed Fabric, Breathable, Durable, Supportive Memory Foam - Hand Wash Only, Spot Cleaning, Plush Makes Lounging Luxe - For House Decor, Bed Accessories",1731425405097250822,210.35,"Bedsure Cotton Duvet Cover Set,Moody Color, 100% Cotton Waffle Weave Duvet Cover, Pure Woven Breathable Bedding Set for All Season, 3 Pieces",1731840788607898197,160.43
thrivewithlolita,Beauty & Personal Care,$624.66,Food & Beverages,$147.60,Titanium Pro Pan™,1732220652112417716,129.99,HUESTICK® Complexion Stick,1731567123374248731,$113.79,"Aprilery Trendy Two-Tone Chain Necklace for Women - 18.9 Inch Silver & Gold Link Design, Hypoallergenic & Durable, Perfect Gift for Special Occasions",1731160619284730381,92.33,Leven Rose Organic Jamaican Black Castor Oil for Hair Renewal 4PC Set w/ 4 Oz + 1 Oz + Scalp Scrubber + Eyelash Brush Natural Serum for Haircare & Skin Repair Cruelty-Free Vegan Moisturizing Oil,1729415045957259879,79.61,"Wonderskin WONDER BLADING Lip Stain Masque – Long-Lasting, Waterproof, Transfer-Proof Lip Stain with Hydrating Vegan Formula for Soft, No-Fade Lips",1729407540442862434,73.72
tikitytokexpress,Beauty & Personal Care,$865.38,Home Supplies,$501.83,"Katie's Limited Edition Chrome Shimmer Silver Rose Cosmetic Set - 25 Beginner-Friendly Items, Glossy Eyeshadow Palette, Lip Glosses, Eyeliner Pens in Pink Gift Box, Easy Glam for Birthdays and Parties, Gift Sets for Women, Makeup, Gifts For Girly Girls",1732149394387538488,784.36,"5oz Crystal Plastic Dessert Cups with Lids & Spoons - Disposable Square Parfait Cups for Mousse, Tiramisu, Pudding, Party & Catering eco-friendly",1729492625946415307,$501.83,"Grandma Chocolate & Vanilla Snack Variety Pack - Pack of 24 Chocolate Chip, Brownie Chip and Mini Chocolate & Vanilla Sandwich Creams",1729598323506451290,156.14,"25-Piece Makeup Kit, Aesthetic Cosmetic Gift Set for Women & Beginners with Chrome Shimmer Crocodile Eyeshadow Palette, Glossy Lip Gloss & Eyeliner Pens, Beauty Products, Gifts For Girly Girls, Gift Sets For Women",1732152246391640632,41.03,"Makeup Kit for Beginners, 25-Piece Chrome Makeup Set in Pink Gift Box with Crocodile Shimmer Eyeshadow Palette, Lip Gloss & Eyeliner, Cosmetics Kit, Everyday Glam",1729479986501948984,39.99
tonya.wellness.np,Beauty & Personal Care,"$1,317.45",Phones & Electronics,$122.15,REMEDY Copper Peptide Complex Advanced Firming Serum,1732482657895420886,981.37,Ridge Power Bank | 5-in-1 Portable Fast Charger | MagSafe Compatible Battery Pack | Slim Pocket Charger for iPhone | Everyday Carry | Travel Charger | Aluminum | Best Tech Gift Protection Compact,1729482825954203242,$122.15,tarte bronzing drops - Key Largo,1729385569760416700,104.83,Lipid Gold (Barrier Repair - Skin Strengthening Lotion),1729413535903420949,48.6,"[Dr.Ceuracle] Matcha Kombucha Tea Essence DUO - Jeju Matcha Tea Essence 150ml, Vegan Kombucha Tea Essence 150ml",1732323249807463020,37.15
