Creator,Top 1 Category,Top 1 Category GMV,Top 2 Category,Top 2 Category GMV,Top 1 Product,Top 1 Product ID,Top 1 Product GMV,Top 2 Product,Top 2 Product ID,Top 2 Product GMV,Top 3 Product,Top 3 Product ID,Top 3 Product GMV,Top 4 Product,Top 4 Product ID,Top 4 Product GMV,Top 5 Product,Top 5 Product ID,Top 5 Product GMV
kristiscustomcreations,Collectibles,"$3,808.86",Pet Supplies,"$3,492.15","Fireworks Romantic Castle 5D Sparkling Beads Painting Set, DIY Acrylic Round Hole Fashion Embroidery Handicraft Art Set, Stress-Relief Handcraft for Parent-Child Activities, Framed Home Decoration Festival Gift (Requires Handmade)",1732473693970797313,"$3,808.86","Nicpro Iridescent Acrylic Paint, 8.45oz/250ml Large Bulk Metallic Acrylic Paint, Color Shifting & Non-Toxic Art Painting Supplies For Canvas Fabric Rock Wood with Paint Knife Color Wheel Artist Bundle,back to school,back to school shopping",1729543101527069005,"$2,156.77","Elk Ridge 2-PC Fixed Blade Hunting Knife Set-Black Stainless Steel Skinner & Gut Hook Blades, ER-300CA,7-Inch/6.5-Inch Overall",1731856824389243019,"$2,129.88",4-in-1 Portable Cosmetic Shampoo Dispenser Storage Bottle Plastic Travel Friendly Compact Design for Easy Carrying,1732103690126201091,"$1,806.86","Refrigerator Self-Pushing Beverage Dispenser, Durable Adjustable Beverage Slide Organizer for Fridge, Fridge Organizers and Storage, Refrigerator Storage Accessories, Easy-to-Clean Drink Dispenser for Pantry and Kitchen #GLOBAL PICKS",1729621134117015937,"$1,652.34"
kseniasenn,Beauty & Personal Care,"$4,802.61",Food & Beverages,$325.14,"Color Wow Money Mist Leave-In Conditioner Spray | Lightweight Hair Mist to Moisturize Dry Hair | Leave In Hair Conditioner for Frizz, Hydration & Shine | Formulated With Hyaluronic Acid & Marine Algae",1729441093035987589,"$1,483.88",sacheu Lip Liner STAY-N - Peel-Off Lip Liner Stain - All Day & Night Lip Liner with Hyaluronic Acid & Vitamin E - Long Lasting Formula - 0.12 fl oz / 3.5 ml,1729385088934777631,$935.75,"[New Shade Launch] TIMEPHORIA Eternal Lip Matte -  Matte Finish Liquid Lipstick, Long Lasting Lip Stain, Waterproof and Transfer-proof Lip Tint, Longwear Mask-friendly, Lightweight, High Coverage, 4ML Compact Size, Lip Makeup & Cosmetic Product",1731364881518727819,$342.14,"Your Way Matte Blur Lip Stain Trio - Ultra-blurring, Longwear up to 8 hours, Moisturizing Lip Stain with Soft-Focus Matte Finish, Bundle & Save",1732535410604217140,$232.26,KIKO Milano Get Saucy Lip Bundle,1732271857803498457,$174.50
kuhl_finds,Home Improvement,$229.82,,,"VEVOR Modular PVC Garage Slat Wall Paneling, 8x4 ft Rectangular 3D Wall Panels, Fireproof, Coupling Structure, Strong Load-Bearing, Easy-Install Adjustable Panels, DIY-Cut for Home Interior, Workshop & Waterproof Wet Space Storage Display, Adjustable Diy-",1730855951689552046,$229.82,,,,,,,,,,,,
kylikamiller44,Sports & Outdoor,"$17,775.90",Womenswear & Underwear,"$11,346.52","MFVIM Women’s Breathable Body-Shaping Yoga Outfit, High-Waisted Quick-Dry Fitness Wear, Versatile Three-Quarter Shorts Sports Set,summerwins,travel essentials,camping essentials,back to school,back to school haul",1732388023895625751,"$12,363.18",【Creator’s Pick】Halara Flex Low Rise Zipper Pockets Washed Baggy Wide Leg Casual Jeans,1729571062218723620,"$3,097.01",Tall Bree Camo Stretch Cargo Jean - Olive/combo,1731049476085945192,"$2,325.26",【Creator’s Pick】Halara 2-Piece Super High Waisted Back Pocket & Side Hidden Pocket 2-in-1 Yoga Shorts Set 5''-Longer Length,1730762001521283364,"$2,077.46",Gap Women's Curvy High Rise Stride Wide-Leg Jeans,1731191221173523062,"$1,453.43"
laurenluto,Home Supplies,"$1,533.16",Womenswear & Underwear,$600.36,"7-Tier Rotating Shoe Rack, 360-Degree Lazy Susan Carousel Organizer Tower for 28-32 Pairs, Round Storage Cabinet for Shoes & Handbags, Home Organizer for Closet, Bedroom (Pink)",1732444806760731636,"$1,533.16",All The Attention Draped Mesh Mini Dress,1732382531701805769,$241.47,Tied Up In Elegance Halter Midi Dress,1731686315698197193,$174.04,Cider Satin Mid Rise Ruffle Maxi Skirt,1732171240755335255,$91.02,Island Luxe Metallic Knit Poncho,1732257697347769033,$55.84
laurenmichellebell,Womenswear & Underwear,"$7,127.27",Baby & Maternity,$578.82,"HDE Women’s Pull-On Capri Pants with Pockets - Minimalist Elegant Stylish Women's Wear, Stretch Hip-Flattering Colored Straight Pants, Dressy Casual Bottoms",1729434948814672224,"$4,622.92","Dokotoo Women's Waffle Knit V-Neck Casual Summer Tops - Lightweight & Breathable Basic Tee for Beach, Party, Work",1730353124011643893,$789.10,Songling Womens Casual Two Piece Outfits 3/4 Batwing Sleeve Crew Neck Top Wide Leg Pants Raw Edge Design Loungewear Set US Standard Size,1729583092687278919,$675.68,"EllivviBebe Baby Bamboo Pajamas, Ultra Soft Bamboo Viscose Zipper Romper Sleepwear，2-Way Zipper, Super Soft, Fun Print Baby Clothes, Breathable Stretch One Piece Footed Pajamas for Newborns Baby Infants Toddlers Bamboo Sleep Sack, Baby Clothing",1731892031821681548,$578.82,MEROKEETY Women's Lounge Sets 2025 Fall Fashion 2 Piece Outfits Sweater Pajama Set Fuzzy Loungewear Matching Winter Clothes,1731972365184635167,$269.71
leahmstapleton,Food & Beverages,$926.91,Beauty & Personal Care,$402.82,BonBon's Sour S-Patch Mix,1732061996472046411,$623.49,Cozy Earth Bamboo Sheet Set | Premium Bamboo Viscose Sheets with Cooling & Breathable Comfort,1729481804813209866,$308.00,Freezball - Durable Fillable Dog Chew Bone,1729404133237756254,$248.40,BonBon's TikTok Exclusive Swedish Candy Mix (Gluten-Free),1729710059368125259,$139.70,"Wavytalk Blowout Boost Negative Ion Thermal Brush-Pink (1.5in) Hair Styler, LED Display, 300℉-420℉ for Different Hair Types, 120-240V Universal Voltage, Beauty Products for At-Home Blowout & Style Curlers & Straighteners",1729403338518794392,$116.33
lesettey,Shoes,"$33,712.34",Beauty & Personal Care,"$10,536.70",Dr. Scholl's Women's Joplin Fashion Boot,1731896531264573800,"$28,640.11","JUDYDOLL Ultra-Fine Liquid Eyeliner, Waterproof Liquid Eye Liner, Hooded Eyes, Sharp Winged Lines, Long-Lasting, Beginner Friendly, Lasting Satin Finish, Smudge-Proof, Transfer-Resistant, Suitable For Sensitive Eyes, Summerwins,back to school",1730235179727360529,"$6,497.15",Astra | Modern Flat-Lens Cat-Eye Sunglasses For Women,1732201295444087593,"$2,685.87","Sterling Silver Elongated Cushion Chocolate CZ Cocktail Ring, Elegant Fashion Ring for Special Occasions, Fashion Rings, Elegant Ring",1732384554843869938,"$2,437.46","MAC OG Glossy Lip Trio – Sculpt, Fill & Shine Set",1732355322468995737,"$1,836.56"
lifewithangiemae,Womenswear & Underwear,"$8,663.79",Beauty & Personal Care,"$1,566.26",ZESICA Women's 2025 Boho Sexy Off Shoulder Long Sleeve Smocked High Waist Side Split Flowy A Line Tiered Long Maxi Dress,1731972238990741746,$941.52,"Chicovar Women's Oversized Vintage Denim Mini Dress ,Sleeveless V-Neck Tie Front Ruffle Layered A-Line Tunic with Pockets & Front Pleats, Casual Outfit,Fashion, Summervibes",1732164026488885733,$861.93,"Florboom Women's Boho Sheer Lace Mini Dress – Deep V-Neck with Bow Tie & Ruffle Sleeves , Polka Dot Vintage Western Style Party Dress for Festivals & Date Nights Womenswear,sohochic",1729492499455776379,$859.45,"PHLUR Father Figure Eau de Parfum - Jumbo Size Green Fig Perfume with Fresh Fig, Iris, Sandalwood & Vanilla (100mL)",1731746010163024129,$723.65,Yimoon 3 Pack Women's Oversized T Shirts Acid Wash Cotton Crew Neck Half Short Sleeve Summer Unisex Tees Casual Loose Fit Solid Streetwear Comfortable Tops Basic Womenswear Plain Tshirt,1731233204970623995,$685.49
lil.bbykay,Beauty & Personal Care,"$7,400.08",Shoes,$706.44,"nuorganic Eyelash Growth Serum (8ML) - Developed by Anti-Aging Scientists, Clean, Prostaglandin-Free Formula for Thicker, Longer Lashes, Daily, Repair, Hydrating, Soothing, Suitable for All Skin Types, Eye Treatment Skincare",1729385520686076431,"$7,130.13","Unisex PU Leather Medium Width Mule Slippers, Comfortable Breathable Rubber Sole, All-Season Wear, House Slippers",1731762605438046446,$706.44,"nuorganic Eyelash & Eyebrow Duo: Growth Serum for Longer, Thicker, Lashes and Brows, Organic Ingredients, Skincare, Cosmic Bundle",1729401966695518735,$157.97,"Lemme Grow Hair Growth Capsules for Women, Clinically Studied Keratin Complex, Visibly Thicker Hair & Reduced Shedding, Nourish Thinning Hair, Biotin-Free, 30 Count, 30-Day Supply",1730043703930360679,$86.24,CLEAN SHEETS (NEW 30 COUNT),1731381938023141806,$49.69
